NumeroForo,AreaDelaminata_mm2,Dmax_mm,DF_diametro,DHAR_Area_Ratio,ShapeFactor,ScalaCalcolata_px_per_mm,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Forza_N
368,4.642302,8.756703,1.45945,0.164188,0.1453,47.92845,0.384333,-0.81774,-0.184596,-0.263036,-0.80926,1.445237,-0.542638,212.1634063720703
369,6.686717,8.020502,1.33675,0.236494,0.300539,47.745093,0.17955,-1.530771,-0.928069,-0.514634,1.48315,1.287594,-1.319851,217.1304473876953
370,13.938083,8.904905,1.484151,0.492959,0.409876,47.885262,-0.050573,-3.139492,-4.152012,-1.607778,4.767345,3.223068,-4.555656,208.73687744140625
371,11.438057,10.217881,1.70298,0.404539,0.212899,48.576399,0.072847,-1.057285,-0.847775,-1.735838,3.905216,-2.668098,3.031444,207.7228546142578
372,12.664273,8.911465,1.485244,0.447907,0.371414,48.316872,-0.006609,-0.835628,-1.054666,-1.365219,-2.635174,-1.828909,2.88365,215.3444061279297
373,9.573158,9.650755,1.608459,0.338581,0.213328,47.774715,0.134216,-0.624954,-0.774491,-0.756227,-1.774718,-1.159335,1.602695,213.6324920654297
374,12.667489,9.337958,1.556326,0.448021,0.31503,48.401343,0.005197,-1.922294,-1.412952,-2.198231,-4.039346,-3.511494,4.410757,211.0387725830078
375,11.377802,8.991827,1.498638,0.402407,0.322981,48.452467,0.048995,-1.899726,-1.828245,-1.709609,-3.506392,-3.173849,3.936882,206.7722625732422
376,10.73851,10.207864,1.701311,0.379797,0.200478,47.565863,0.065735,-1.299391,-1.290995,-1.759951,-3.446066,-2.426224,-3.426046,214.0440673828125
377,10.589525,10.146743,1.691124,0.374528,0.20137,48.090153,0.063876,-1.318014,-0.840844,-1.248208,-3.539995,-2.086364,2.293423,212.2
378,9.706192,9.655358,1.609226,0.343286,0.215956,48.207681,0.103787,-1.597361,-1.588158,-2.910825,-5.154256,3.856968,-6.57486,219.9
379,9.46787,9.308383,1.551397,0.334857,0.238022,48.012132,0.111325,-1.793897,-1.120539,-2.010257,-3.57787,3.110617,-4.55611,213.5
380,13.916096,9.71395,1.618992,0.492181,0.303603,48.3359,-0.034676,-1.207712,-1.991102,-1.721982,-4.078322,2.482537,-3.6012,223.4
381,9.277946,10.972967,1.828828,0.32814,0.139955,47.860143,0.132523,-0.996329,-1.878741,-0.795183,-2.134543,-1.497847,3.111456,217.3
382,10.845915,8.83003,1.471672,0.383596,0.329036,48.097874,0.02322,-1.310723,-1.205999,-1.307292,2.759335,1.962815,2.677242,215.4
383,14.628777,8.949448,1.491575,0.517387,0.422428,47.527926,-0.081362,-1.713354,-1.525042,-1.728352,3.831148,2.602085,3.380616,217.9
384,5.669351,7.717784,1.286297,0.200512,0.306331,48.449547,0.233807,-1.242433,-0.1365,-0.130544,-0.27762,-0.814997,0.873152,226.9
385,8.245593,8.515186,1.419198,0.291628,0.287567,47.139757,0.095152,-1.40648,-1.291966,-0.688618,-1.682972,-1.550527,-2.544911,229.2
386,14.83451,9.059696,1.509949,0.524663,0.40991,48.465604,-0.074699,-2.09924,-1.932179,-2.172451,-4.230759,4.668041,-4.978634,227.1
387,13.916471,8.883927,1.480654,0.492194,0.412798,48.330046,-0.04961,-2.500182,-1.920448,-1.669547,4.193979,-3.029389,-3.47208,217.6
388,4.453146,9.610289,1.601715,0.157498,0.100606,48.666598,0.374224,-0.839943,-2.166322,0.258343,-0.730603,-0.231142,1.10953,228.6
389,5.88258,10.495905,1.749318,0.208054,0.100991,48.207681,0.304867,-1.693596,-0.617089,-1.611099,-2.840287,-2.529714,-2.917981,217.7
390,10.813275,9.62481,1.604135,0.382441,0.24309,48.504265,0.04744,-1.544558,-2.034807,-2.632193,-5.27106,3.405312,5.019616,221.0
391,12.955914,9.905596,1.650933,0.458222,0.265547,48.069556,0.000838,-1.814288,-1.413982,-2.706727,-5.605146,3.652451,4.768815,220.3
392,7.824246,10.839943,1.806657,0.276726,0.122228,47.995923,0.218974,-0.397835,-0.688244,-1.241312,-2.209548,-1.492204,-3.106375,224.3
393,7.581454,9.96196,1.660327,0.268139,0.152639,47.869749,0.193648,-0.544112,-1.311607,-1.105879,-2.688866,-1.486271,-2.357291,230.7
394,9.296594,8.854752,1.475792,0.3288,0.279126,47.972706,0.121476,-1.882707,-0.600684,-1.671747,-3.374124,-3.2413,-2.824562,241.5
395,9.3206,9.022249,1.503708,0.329649,0.26139,48.064037,0.101712,-1.261224,-1.359595,-1.691468,-3.656165,2.441585,-3.24772,220.6
396,12.569827,8.937365,1.489561,0.444567,0.36476,49.099623,-0.00624,-1.777002,-0.873304,-3.136163,5.206972,4.119372,5.40199,221.7
397,14.370426,8.819881,1.46998,0.50825,0.437829,48.558194,-0.041829,-5.130809,-1.803229,-2.959499,5.417167,-5.568104,-5.56388,218.2
398,11.197189,8.980891,1.496815,0.39602,0.319253,48.193739,-0.006195,-1.345474,-1.968285,-1.205343,2.822788,1.931098,3.232346,221.0
399,5.125978,9.520769,1.586795,0.181294,0.119436,47.914059,0.330709,-1.070106,-0.012443,-0.547628,0.914623,1.221803,1.068412,220.6
400,12.693235,10.363346,1.727224,0.448931,0.226355,48.166946,-0.004319,-1.568208,-1.481935,-1.558297,-4.574968,-2.473581,3.078582,217.1
401,11.623765,10.366413,1.727735,0.411107,0.207099,48.431659,0.024204,-2.451166,-2.325939,-2.510485,5.019256,3.931584,-5.147688,222.0
402,8.798747,9.796985,1.632831,0.311192,0.186775,48.380513,0.153847,-1.461538,-0.389045,-0.85672,-1.644507,-2.39279,-1.616621,239.9
403,7.528207,9.011974,1.501996,0.266256,0.211989,48.80412,0.173719,-1.187838,-2.12439,-2.869645,5.468474,-3.609632,5.544614,226.0
404,15.82683,11.123846,1.853974,0.55976,0.229671,48.640065,-0.087458,-2.516414,-2.123062,-2.653676,-5.461487,-3.992632,-5.06887,219.4
405,14.76971,9.058378,1.50973,0.522372,0.408331,48.436405,-0.06593,-1.987695,-1.583647,-2.877529,-5.324756,-3.904194,5.195978,219.9
406,5.263186,8.146195,1.357699,0.186147,0.220724,48.184932,0.326138,-1.088347,0.160464,-0.928497,-1.977106,-1.616963,1.322935,219.8
407,8.201647,8.802669,1.467112,0.290074,0.251709,48.372471,0.148782,-1.514388,-1.068128,-1.58356,5.028131,-3.466642,-2.909384,227.9
408,14.785131,8.411237,1.401873,0.522917,0.541744,48.529051,-0.093011,-1.810117,-2.895184,-2.080549,5.316793,4.260022,4.573549,216.6
409,11.563533,9.24716,1.541193,0.408976,0.297377,48.548724,0.015168,-1.410525,-1.707102,-1.425955,-3.514217,-2.360057,3.013021,218.9
410,8.819505,9.930287,1.655048,0.311926,0.179352,48.674228,0.106747,-0.749176,-1.47513,-1.214726,2.833394,-2.027284,2.632012,219.6
411,5.737652,10.382011,1.730335,0.202928,0.101766,48.158501,0.329234,-0.232441,-0.171689,-1.336308,-2.920782,-1.460629,-2.095094,229.1
412,6.988665,10.469263,1.744877,0.247173,0.120891,48.307721,0.232188,-2.684098,-1.954169,-0.848321,2.320429,2.2934,2.527176,232.8
413,12.581035,8.465214,1.410869,0.444963,0.449208,48.308087,-0.028296,-2.545205,-1.543046,-1.731155,-3.790233,-3.279128,3.401675,225.0
414,11.760276,11.891615,1.981936,0.415935,0.142051,48.449912,0.024919,-1.255549,-1.353467,-2.362798,4.39824,3.240684,-4.345802,227.7
415,8.081824,10.341253,1.723542,0.285836,0.14505,49.057466,0.179231,-0.841467,-0.533969,-0.667175,-1.378948,-1.12126,1.4663,219.4
416,5.550702,9.602383,1.600397,0.196316,0.125741,48.81354,0.350864,-0.099102,-0.31989,-1.355579,-2.286313,-1.641571,-2.422272,216.6
417,17.285148,9.91598,1.652663,0.611337,0.353109,48.634611,-0.125547,-2.267563,-2.26898,-2.506978,-5.111677,3.75512,-4.987372,225.6
418,15.02912,9.136098,1.522683,0.531546,0.403125,48.585499,-0.068946,-1.632848,-2.118665,-2.292075,-5.033238,-3.420042,-4.51485,223.3
419,10.599653,9.094264,1.515711,0.374886,0.288956,47.432953,0.028318,-2.916743,-1.604109,-1.143791,-2.577928,-3.178813,2.825691,222.6
420,17.603727,9.150169,1.525028,0.622604,0.469638,49.131667,-0.136463,-2.580095,-2.035455,-2.447154,-6.258339,3.857697,-4.68647,220.3
421,7.559966,8.000564,1.333427,0.267379,0.343662,47.821701,0.136412,-1.363242,-2.015103,-0.703292,3.547577,-1.570165,-2.062719,214.4
422,15.856151,8.915808,1.485968,0.560797,0.464197,48.398055,-0.090448,-1.978251,-2.161538,-3.001148,-5.594675,-4.001884,5.986092,219.2
423,14.518567,9.615532,1.602589,0.513489,0.32742,49.033669,-0.044552,-2.033742,-2.130894,-2.541693,-4.912486,-3.575307,5.266911,214.3
424,6.166984,8.812085,1.468681,0.218112,0.188512,48.232985,0.257536,-0.594827,-1.42123,-2.340188,-4.43817,-2.839348,-4.31885,226.9
425,15.367322,10.34872,1.724787,0.543508,0.275209,48.649517,-0.078434,-1.862633,-1.713408,-2.083146,-4.171332,3.681677,-4.097616,225.0
426,8.680529,10.705845,1.784308,0.307011,0.140589,48.780925,0.160412,-1.666996,-0.717858,-1.132988,-2.077891,-2.013602,-2.591597,229.7
427,8.198369,9.255572,1.542595,0.289958,0.210175,48.638611,0.160928,-0.550438,-0.931024,-1.12728,-2.229134,-1.403328,2.429345,230.1
428,15.900797,9.974776,1.662463,0.562376,0.318846,48.805932,-0.087942,-2.895519,-2.119422,-2.816267,5.788146,-5.485024,5.295147,226.2
429,5.639692,9.886866,1.647811,0.199463,0.116286,48.298568,0.314192,-0.249623,-0.810802,-0.410866,1.0601,-0.629797,-1.416826,217.6
